,lat,lon,country,year
353,-18.13666976,49.41457477,Madagascar,2018
354,-18.1443454,49.39713996,Madagascar,2018
355,-18.1492736,49.3716696,Madagascar,2018
356,-18.14659158,49.39928447,Madagascar,2018
357,-18.14982679,49.39416997,Madagascar,2018
358,-18.1590893,49.38735865,Madagascar,2018
359,-18.1594144,49.39328282,Madagascar,2018
360,-18.15861574,49.41376751,Madagascar,2018
361,-18.17081595,49.39939876,Madagascar,2018
362,-18.11003605,49.38231857,Madagascar,2018
363,-18.17473418,49.38360019,Madagascar,2018
364,-18.82096132,49.05199972,Madagascar,2018
365,-19.40870712,48.55507107,Madagascar,2018
366,-19.868412,48.747823,Madagascar,2018
367,-19.9470326,48.73333244,Madagascar,2018
368,-17.65951671,49.38572488,Madagascar,2018
369,-17.80925163,49.36382333,Madagascar,2018
370,-18.07282019,48.88571814,Madagascar,2018
371,-18.04395231,49.40802388,Madagascar,2018
372,-18.23390215,49.29554745,Madagascar,2018
373,-18.40667868,48.99662149,Madagascar,2018
374,-18.59008464,49.12239436,Madagascar,2018
375,-18.72897145,49.08163772,Madagascar,2018
376,-18.98525863,48.68622913,Madagascar,2018
377,-18.97954078,49.07480185,Madagascar,2018
378,-19.23654162,48.82858094,Madagascar,2018
379,-19.37653635,48.70916746,Madagascar,2018
380,-19.58520051,48.8690845,Madagascar,2018
381,-19.66042505,48.79907625,Madagascar,2018
382,-19.79984578,48.34740879,Madagascar,2018
383,-19.88659062,48.63765023,Madagascar,2018
384,-20.0205289,48.44871031,Madagascar,2018
385,-20.03538029,48.68441029,Madagascar,2018
386,-20.09110091,48.37726902,Madagascar,2018
387,-20.23339667,48.56273959,Madagascar,2018
388,-20.28950295,48.25822454,Madagascar,2018
389,-20.31756184,48.08598572,Madagascar,2018
390,-20.09314123,47.75741972,Madagascar,2018
391,-20.37004132,47.8080372,Madagascar,2018
392,-17.38426075,49.40150275,Madagascar,2018
393,-15.43270335,49.74922712,Madagascar,2018
394,-15.44426002,49.73213461,Madagascar,2018
395,-16.17762978,49.779796,Madagascar,2018
396,-17.03311824,49.51799725,Madagascar,2018
397,-16.88987199,49.92943625,Madagascar,2018
398,-17.46582338,49.16370743,Madagascar,2018
399,-17.52349003,49.22043389,Madagascar,2018
400,-17.0950256,49.47734821,Madagascar,2018
401,-17.15553183,49.29638287,Madagascar,2018
402,-17.24229957,49.3967927,Madagascar,2018
403,-17.29578604,49.16845061,Madagascar,2018
404,-17.26831667,49.32390265,Madagascar,2018
405,-17.38152625,49.33777372,Madagascar,2018
406,-17.53547022,49.36522315,Madagascar,2018
407,-15.31512312,49.70079597,Madagascar,2018
408,-15.02159915,49.53028858,Madagascar,2018
409,-15.4031813,49.87957212,Madagascar,2018
410,-15.55816976,49.56234422,Madagascar,2018
411,-15.75114361,49.5681129,Madagascar,2018
412,-15.98256361,49.23994207,Madagascar,2018
413,-16.16634644,49.44968848,Madagascar,2018
414,-16.20458821,49.84248534,Madagascar,2018
415,-16.34362904,49.61197331,Madagascar,2018
416,-16.40873532,49.80997028,Madagascar,2018
417,-16.89626901,49.48863102,Madagascar,2018
418,-16.90622992,49.11346799,Madagascar,2018
419,-16.76500283,49.42660944,Madagascar,2018
420,-17.57444814,49.11633111,Madagascar,2018
421,-17.38962146,49.26138049,Madagascar,2018
422,-17.41404871,49.12066926,Madagascar,2018
423,-17.67427367,49.15024988,Madagascar,2018
424,-17.81544134,48.40724951,Madagascar,2018
425,-17.83050209,48.42517907,Madagascar,2018
426,-17.02797099,48.57089607,Madagascar,2018
